2960	‘Ayn Ḩalāqīm
4273	Al Karāmah
5174	‘Arīqah
9904	Ţāleqān
10570	Alvand
12795	Aş Şūrah aş Şaghīrah
14256	Āzādshahr
15269	Nīr
17916	Kandovān
18918	Protaras
22451	Qarah Āghāj
23290	Bostānābād
23814	Kahrīz
24851	Nūrābād
25883	Javānrūd
30485	Daḩasuways
30490	Ash Shiḩr
30543	Al Ghaylah
30616	Judaydah
30689	Ḑawrān
30696	Najd al Jamā‘ī
30714	Z̧almah al ‘Ulyā
30729	Sūq ar Rubū‘
30735	Ash Shuqayrah
30740	Al Masālīyah
30748	Ar Rawnah
30762	Ar Ramādī
30777	Al Aḩad
30788	Aḑ Ḑil‘
31020	Bozghān
31265	Kalāt-e Nāderī
32723	Īstgāh-e Rāh Āhan-e Garmsār
32767	Qarchak
32904	Shahrak-e Emām Ḩasan
32909	Shahre Jadide Andisheh
34703	Sūq Şirwāḩ
34717	Majzar
34724	Bidbadah
34821	Matwaḩ
34827	Şuwayr
34846	Waḑarah
34860	Al Mirwāḩ
34862	Sūq Shamar
34886	Mustabā’
34888	An Naz̧īr
37767	Omīdcheh
39874	Āq Qāyeh
40047	Gomīshān
41151	Pā’īn-e Bāzār-e Rūdbār
41210	Khorramdarreh
41428	Pādegān-e Manjīl
44439	Kavār
49593	Yeed
49747	Xuddur
50064	Xarardheere
50672	Wanlaweyn
50814	Waajid
51299	Tayeeglow
52381	Saacow
52867	Qoryooley
53157	Qandala
53372	Oodweyne
53654	Mogadishu
54225	Marka
54460	Mahaddayweyne
54715	Luuq
54746	Lughaye
55223	Las Khorey
55671	Kismayo
56166	Jilib
56335	Jawhar
56399	Jamaame
56414	Jalalaqsi
56505	Iskushuban
57000	Hobyo
57289	Hargeysa
58933	Garoowe
58994	Garbahaarrey
59611	Gaalkacyo
60019	Eyl
60457	Dujuuma
60809	Diinsoor
60928	Dhuusamarreeb
62691	Ceerigaabo
62788	Ceeldheer
62821	Ceelbuur
62854	Ceek
63081	Caluula
63344	Cadale
63361	Adado
63571	Buurhakaba
